Цель: Получить список всех товаров из конкретного заказа (например, заказ с ID = 3), отсортированный по цене по убыванию.
"Товар 81",3,"12998.70"
"Товар 302",2,"12893.56"
"Товар 116",5,"12831.80"
"Товар 115",6,"12764.79"
"Товар 374",7,"12652.95"
"Товар 94",2,"12488.00"
"Товар 17",2,"12420.66"
"Товар 178",6,"12169.01"
"Товар 36",9,"12120.04"
"Товар 420",8,"12113.29"
"Товар 354",5,"12013.18"
"Товар 373",3,"11999.37"
"Товар 285",1,"11962.20"
"Товар 63",1,"11932.99"
"Товар 361",3,"11792.32"
"Товар 226",4,"11783.92"
"Товар 23",8,"11611.25"
"Товар 321",9,"11367.18"
"Товар 265",7,"11164.10"
"Товар 312",4,"11113.07"
"Товар 256",5,"11048.98"
"Товар 58",4,"10989.22"
"Товар 310",2,"10938.39"
"Товар 135",2,"10877.18"
"Товар 411",10,"10672.57"
"Товар 2",5,"10613.03"
"Товар 266",2,"10612.22"
"Товар 106",6,"10427.71"
"Товар 210",2,"10377.20"
"Товар 113",10,"10305.26"
"Товар 457",4,"10233.83"
"Товар 221",3,"10095.44"
"Наушники беспроводные",1,"10000.00"
"Товар 145",8,"9998.71"
"Товар 408",2,"9976.04"
"Товар 499",4,"9975.83"
"Товар 175",4,"9728.10"
"Товар 415",2,"9623.97"
"Товар 309",7,"9528.50"
"Товар 74",9,"9511.17"
"Товар 161",6,"9168.79"
"Товар 442",9,"9153.09"
"Товар 214",2,"8997.46"
"Товар 103",5,"8877.31"
"Товар 350",6,"8795.06"
"Товар 468",3,"8773.69"
"Товар 491",6,"8754.35"
"Товар 218",3,"8601.61"
"Товар 83",3,"8509.97"
"Товар 129",4,"8488.38"
"Товар 65",4,"8438.64"
"Товар 145",8,"8437.33"
"Товар 402",4,"8412.48"
"Товар 267",9,"8395.54"
"Товар 323",10,"8356.37"
"Товар 477",3,"7850.95"
"Товар 374",9,"7724.89"
"Товар 60",5,"7529.13"
"Товар 438",8,"7265.06"
"Товар 278",9,"7194.02"
"Товар 427",1,"7189.43"
"Товар 32",3,"7153.82"
"Товар 474",8,"7133.05"
"Товар 22",2,"6905.09"
"Товар 292",7,"6876.31"
"Товар 29",2,"6811.28"
"Товар 304",10,"6780.18"
"Товар 138",1,"6723.53"
"Товар 169",4,"6594.39"
"Товар 67",5,"6297.65"
"Товар 259",6,"6170.71"
"Товар 414",9,"6075.26"
"Товар 480",4,"6049.18"
"Товар 385",1,"5991.99"
"Товар 217",8,"5936.77"
"Товар 369",8,"5915.37"
"Товар 423",2,"5906.56"
"Товар 404",1,"5906.00"
"Товар 323",4,"5850.12"
"Товар 53",5,"5825.45"
"Товар 6",7,"5823.64"
"Товар 402",5,"5751.50"
"Товар 423",4,"5707.74"
"Товар 495",4,"5553.96"
"Товар 481",2,"5532.31"
"Товар 358",3,"5508.63"
"Товар 345",4,"5270.55"
"Товар 247",4,"5266.29"
"Товар 363",4,"5134.80"
"Товар 340",2,"5092.27"
"Товар 388",9,"4891.73"
"Товар 234",2,"4799.47"
"Товар 461",1,"4788.81"
"Товар 396",8,"4782.49"
"Товар 62",9,"4734.86"
"Товар 123",6,"4452.25"
"Товар 24",4,"4416.99"
"Товар 355",3,"4370.96"
"Товар 142",6,"4360.75"
"Товар 27",8,"4212.89"
"Товар 21",3,"4046.72"
"Товар 232",3,"4032.63"
"Товар 224",9,"3868.14"
"Товар 369",3,"3768.24"
"Товар 409",3,"3711.94"
"Товар 247",6,"3515.76"
"Товар 98",2,"3471.12"
"Товар 20",6,"3219.34"
"Товар 333",2,"3058.54"
"Товар 451",7,"3033.50"
"Товар 35",6,"2947.79"
"Товар 117",7,"2860.85"
"Товар 155",10,"2701.35"
"Товар 41",9,"2659.24"
"Товар 285",9,"2441.96"
"Товар 99",7,"2424.95"
"Товар 394",9,"2317.95"
"Товар 313",7,"2144.87"
"Товар 448",9,"2103.87"
"Товар 471",6,"2072.04"
"Товар 231",8,"2032.77"
"Товар 339",10,"1991.46"
"Товар 369",8,"1987.45"
"Товар 26",2,"1953.84"
"Товар 375",2,"1940.18"
"Товар 249",9,"1896.26"
"Товар 340",4,"1801.87"
"Товар 426",6,"1757.55"
"Товар 5",8,"1650.40"
"Товар 221",10,"1602.22"
"Товар 247",9,"1595.63"
"Товар 148",8,"1571.71"
"Товар 500",1,"1068.41"
"Товар 101",8,"941.54"
"Товар 427",8,"810.01"
"Товар 485",3,"809.85"
"Товар 392",10,"729.04"
"Товар 98",10,"451.51"
"Товар 190",9,"107.06"
